,model_A,model_B,mdr_A,mdr_B,K,jaccard_index,overlap_count
1,"LD=1, SS=1","LD=1, SS=2",5.1836,5.091,100,0.8691588785046729,93
4,"LD=1, SS=1","LD=1, SS=4",5.1836,4.8493,100,0.8691588785046729,93
7,"LD=1, SS=1","LD=1, SS=8",5.1836,5.1752,100,0.9801980198019802,99
10,"LD=1, SS=1","LD=1, SS=16",5.1836,4.3307,100,0.5503875968992248,71
13,"LD=1, SS=1","LD=1, SS=32",5.1836,4.1619,100,0.4925373134328358,66
16,"LD=1, SS=1","LD=1, SS=64",5.1836,4.3166,100,0.45985401459854014,63
19,"LD=1, SS=1","LD=2, SS=1",5.1836,5.1944,100,1.0,100
22,"LD=1, SS=1","LD=2, SS=2",5.1836,4.9573,100,0.9801980198019802,99
25,"LD=1, SS=1","LD=2, SS=4",5.1836,5.2935,100,0.9801980198019802,99
28,"LD=1, SS=1","LD=2, SS=8",5.1836,4.1817,100,0.4492753623188406,62
31,"LD=1, SS=1","LD=2, SS=16",5.1836,3.2505,100,0.3157894736842105,48
34,"LD=1, SS=1","LD=2, SS=32",5.1836,4.0203,100,0.36054421768707484,53
37,"LD=1, SS=1","LD=2, SS=64",5.1836,4.3853,100,0.47058823529411764,64
40,"LD=1, SS=1","LD=4, SS=1",5.1836,5.525,100,0.9607843137254902,98
43,"LD=1, SS=1","LD=4, SS=2",5.1836,5.16,100,0.9607843137254902,98
46,"LD=1, SS=1","LD=4, SS=4",5.1836,4.4068,100,0.2987012987012987,46
49,"LD=1, SS=1","LD=4, SS=8",5.1836,3.1412,100,0.3698630136986301,54
52,"LD=1, SS=1","LD=4, SS=16",5.1836,2.5852,100,0.19760479041916168,33
55,"LD=1, SS=1","LD=4, SS=32",5.1836,3.7566,100,0.36054421768707484,53
58,"LD=1, SS=1","LD=4, SS=64",5.1836,4.7151,100,0.43884892086330934,61
61,"LD=1, SS=1","LD=8, SS=1",5.1836,5.1164,100,0.9801980198019802,99
64,"LD=1, SS=1","LD=8, SS=2",5.1836,5.2656,100,0.9230769230769231,96
67,"LD=1, SS=1","LD=8, SS=4",5.1836,4.1274,100,0.42857142857142855,60
70,"LD=1, SS=1","LD=8, SS=8",5.1836,2.9843,100,0.21212121212121213,35
73,"LD=1, SS=1","LD=8, SS=16",5.1836,2.8322,100,0.19760479041916168,33
76,"LD=1, SS=1","LD=8, SS=32",5.1836,3.4086,100,0.26582278481012656,42
79,"LD=1, SS=1","LD=8, SS=64",5.1836,5.0874,100,0.48148148148148145,65
82,"LD=1, SS=1","LD=16, SS=1",5.1836,5.1203,100,0.9230769230769231,96
85,"LD=1, SS=1","LD=16, SS=2",5.1836,5.4975,100,0.7241379310344828,84
88,"LD=1, SS=1","LD=16, SS=4",5.1836,4.3131,100,0.9801980198019802,99
91,"LD=1, SS=1","LD=16, SS=8",5.1836,2.627,100,0.19047619047619047,32
94,"LD=1, SS=1","LD=16, SS=16",5.1836,2.8996,100,0.2345679012345679,38
97,"LD=1, SS=1","LD=16, SS=32",5.1836,3.5236,100,0.35135135135135137,52
100,"LD=1, SS=1","LD=16, SS=64",5.1836,4.838,100,0.41843971631205673,59
103,"LD=1, SS=1","LD=32, SS=1",5.1836,6.0802,100,0.7543859649122807,86
106,"LD=1, SS=1","LD=32, SS=2",5.1836,4.9217,100,0.9801980198019802,99
109,"LD=1, SS=1","LD=32, SS=4",5.1836,2.7115,100,0.22699386503067484,37
112,"LD=1, SS=1","LD=32, SS=8",5.1836,2.9311,100,0.2345679012345679,38
115,"LD=1, SS=1","LD=32, SS=16",5.1836,3.1822,100,0.28205128205128205,44
118,"LD=1, SS=1","LD=32, SS=32",5.1836,3.3407,100,0.2903225806451613,45
121,"LD=1, SS=1","LD=64, SS=1",5.1836,5.1779,100,0.9801980198019802,99
124,"LD=1, SS=1","LD=64, SS=2",5.1836,2.7685,100,0.22699386503067484,37
127,"LD=1, SS=1","LD=64, SS=4",5.1836,3.0636,100,0.20481927710843373,34
130,"LD=1, SS=1","LD=64, SS=8",5.1836,3.0507,100,0.2578616352201258,41
133,"LD=1, SS=1","LD=64, SS=16",5.1836,3.1088,100,0.30718954248366015,47
136,"LD=1, SS=2","LD=1, SS=4",5.091,4.8493,100,0.7699115044247787,87
139,"LD=1, SS=2","LD=1, SS=8",5.091,5.1752,100,0.8518518518518519,92
142,"LD=1, SS=2","LD=1, SS=16",5.091,4.3307,100,0.5267175572519084,69
145,"LD=1, SS=2","LD=1, SS=32",5.091,4.1619,100,0.4925373134328358,66
148,"LD=1, SS=2","LD=1, SS=64",5.091,4.3166,100,0.45985401459854014,63
151,"LD=1, SS=2","LD=2, SS=1",5.091,5.1944,100,0.8691588785046729,93
154,"LD=1, SS=2","LD=2, SS=2",5.091,4.9573,100,0.8691588785046729,93
157,"LD=1, SS=2","LD=2, SS=4",5.091,5.2935,100,0.8518518518518519,92
160,"LD=1, SS=2","LD=2, SS=8",5.091,4.1817,100,0.45985401459854014,63
163,"LD=1, SS=2","LD=2, SS=16",5.091,3.2505,100,0.3333333333333333,50
166,"LD=1, SS=2","LD=2, SS=32",5.091,4.0203,100,0.3793103448275862,55
169,"LD=1, SS=2","LD=2, SS=64",5.091,4.3853,100,0.47058823529411764,64
172,"LD=1, SS=2","LD=4, SS=1",5.091,5.525,100,0.8348623853211009,91
175,"LD=1, SS=2","LD=4, SS=2",5.091,5.16,100,0.8348623853211009,91
178,"LD=1, SS=2","LD=4, SS=4",5.091,4.4068,100,0.2903225806451613,45
181,"LD=1, SS=2","LD=4, SS=8",5.091,3.1412,100,0.3698630136986301,54
184,"LD=1, SS=2","LD=4, SS=16",5.091,2.5852,100,0.19760479041916168,33
187,"LD=1, SS=2","LD=4, SS=32",5.091,3.7566,100,0.3698630136986301,54
190,"LD=1, SS=2","LD=4, SS=64",5.091,4.7151,100,0.43884892086330934,61
193,"LD=1, SS=2","LD=8, SS=1",5.091,5.1164,100,0.8518518518518519,92
196,"LD=1, SS=2","LD=8, SS=2",5.091,5.2656,100,0.8348623853211009,91
199,"LD=1, SS=2","LD=8, SS=4",5.091,4.1274,100,0.42857142857142855,60
202,"LD=1, SS=2","LD=8, SS=8",5.091,2.9843,100,0.21212121212121213,35
205,"LD=1, SS=2","LD=8, SS=16",5.091,2.8322,100,0.20481927710843373,34
208,"LD=1, SS=2","LD=8, SS=32",5.091,3.4086,100,0.2903225806451613,45
211,"LD=1, SS=2","LD=8, SS=64",5.091,5.0874,100,0.47058823529411764,64
