latent_dim,step_size,val_loss_mean,val_loss_std,test_error_mean,test_error_std,anomaly_threshold_mean,anomaly_threshold_std,maha_dist_ratio_95_mean,maha_dist_ratio_95_std,anomaly percent_mean,anomaly percent_std
1,1,0.4132,0.0223,0.4015,0.0213,1.8375,0.1554,5.1836,0.3923,1.537,0.2581
1,2,0.411,0.0258,0.4047,0.0292,1.8307,0.1549,5.091,0.3944,1.5485,0.199
1,4,0.3878,0.0319,0.3817,0.051,1.622,0.3574,4.8493,0.8336,2.0788,0.9239
1,8,0.4186,0.0223,0.4096,0.0305,1.8294,0.1617,5.1752,0.3669,1.5524,0.2495
1,16,0.2479,0.0594,0.2391,0.0533,1.0668,0.5199,4.3307,1.0693,2.3324,1.3872
1,32,0.2366,0.0164,0.2306,0.0175,0.9937,0.2837,4.1619,0.6342,2.3208,1.1816
1,64,0.2694,0.0188,0.2622,0.0177,1.0507,0.2985,4.3166,0.6607,2.1979,1.1572
2,1,0.4134,0.0228,0.4064,0.0305,1.8362,0.1582,5.1944,0.3742,1.537,0.2531
2,2,0.4296,0.0486,0.4061,0.0316,1.7493,0.2649,4.9573,0.4479,1.7983,0.4766
2,4,0.3845,0.0157,0.3792,0.0281,1.9075,0.6011,5.2935,1.56,1.61,1.0578
2,8,0.3145,0.1051,0.3115,0.1029,1.2316,0.6329,4.1817,1.0673,3.0086,1.8626
2,16,0.1404,0.0163,0.135,0.0163,0.508,0.1453,3.2505,0.415,2.9587,1.31
2,32,0.1665,0.0135,0.1601,0.0146,0.7446,0.1981,4.0203,0.6156,1.6868,0.8797
2,64,0.2003,0.0139,0.1948,0.0207,0.8871,0.2948,4.3853,0.6982,2.121,1.1659
4,1,0.5099,0.235,0.404,0.0298,2.3414,1.2405,5.525,0.937,1.3833,0.6007
4,2,0.4091,0.0202,0.4,0.0221,1.8356,0.1636,5.16,0.3481,1.5562,0.2531
4,4,0.3343,0.0567,0.3296,0.0744,1.4532,0.3976,4.4068,0.9713,1.902,1.0238
4,8,0.1645,0.0327,0.1632,0.0249,0.6193,0.3595,3.1412,0.5239,3.9962,2.312
4,16,0.0831,0.004,0.0801,0.0054,0.1992,0.0299,2.5852,0.2203,6.586,1.7456
4,32,0.0952,0.0079,0.0916,0.0073,0.3805,0.0705,3.7566,0.3919,1.9481,0.8161
4,64,0.1249,0.0117,0.1186,0.012,0.5884,0.1502,4.7151,0.6676,1.4102,0.5599
8,1,0.425,0.0468,0.4045,0.0285,1.8136,0.1824,5.1164,0.3236,1.61,0.3158
8,2,0.4089,0.0191,0.4354,0.1021,1.9081,0.3469,5.2656,0.4856,1.487,0.4642
8,4,0.3306,0.0415,0.3242,0.0634,1.2781,0.4243,4.1274,0.7802,2.3785,1.0959
8,8,0.1614,0.0726,0.1501,0.0468,0.4882,0.1957,2.9843,0.389,4.2843,1.8627
8,16,0.0621,0.0045,0.0601,0.0048,0.1767,0.0315,2.8322,0.2697,4.5533,1.1571
8,32,0.0606,0.0082,0.0576,0.0035,0.2214,0.0503,3.4086,0.5293,2.4592,0.9145
8,64,0.0856,0.0123,0.0808,0.0117,0.4118,0.1168,5.0874,0.8234,1.3718,0.6729
16,1,0.4157,0.0196,0.4094,0.0242,1.8099,0.2114,5.1203,0.4505,1.6254,0.343
16,2,0.4042,0.0231,0.3918,0.0173,2.2656,0.5634,5.4975,0.5107,1.1758,0.6989
16,4,0.3534,0.0354,0.3404,0.0291,1.4751,0.3886,4.3131,0.7587,1.9904,0.8926
16,8,0.1026,0.0196,0.0963,0.0079,0.293,0.0984,2.627,0.2535,5.7637,2.6651
16,16,0.0592,0.0056,0.0567,0.003,0.1907,0.0402,2.8996,0.2406,3.6772,1.3879
16,32,0.0549,0.0051,0.0525,0.0073,0.1968,0.0299,3.5236,0.4063,2.1979,0.7135
16,64,0.0651,0.0107,0.0605,0.0085,0.3215,0.0837,4.838,0.5635,1.2642,0.5504
32,1,0.4001,0.0168,0.397,0.0259,2.4048,1.0059,6.0802,1.9507,1.1796,0.5863
32,2,0.409,0.0135,0.4003,0.0327,1.7215,0.3923,4.9217,0.6435,2.0519,1.2482
32,4,0.1649,0.0176,0.1582,0.018,0.5427,0.1931,2.7115,0.3891,5.4986,3.7616
32,8,0.0587,0.0065,0.0561,0.0019,0.1901,0.041,2.9311,0.2769,3.9232,1.3762
32,16,0.0378,0.0052,0.0355,0.0019,0.1216,0.0326,3.1822,0.3468,3.5658,1.567
32,32,0.0224,0.0038,0.0201,0.002,0.0711,0.01,3.3407,0.1565,2.4438,0.5129
64,1,0.4259,0.0215,0.4088,0.0306,1.8498,0.1582,5.1779,0.3872,1.5485,0.258
64,2,0.0644,0.005,0.063,0.0044,0.2088,0.1062,2.7685,0.4648,6.3055,4.2973
64,4,0.0308,0.003,0.0291,0.0017,0.1015,0.0401,3.0636,0.5339,4.4649,2.6956
64,8,0.0205,0.0025,0.0192,0.0016,0.0615,0.0156,3.0507,0.4386,3.9232,1.8252
64,16,0.0149,0.0022,0.0138,0.0017,0.0445,0.0031,3.1088,0.3385,3.1623,0.5731
