latent_dim,step_size,val_loss_0,val_loss_1,val_loss_2,val_loss_3,val_loss_4,val_loss_mean,val_loss_std,test_error_0,test_error_1,test_error_2,test_error_3,test_error_4,test_error_mean,test_error_std,anomaly_threshold_0,anomaly_threshold_1,anomaly_threshold_2,anomaly_threshold_3,anomaly_threshold_4,anomaly_threshold_mean,anomaly_threshold_std,maha_dist_ratio_95_0,maha_dist_ratio_95_1,maha_dist_ratio_95_2,maha_dist_ratio_95_3,maha_dist_ratio_95_4,maha_dist_ratio_95_mean,maha_dist_ratio_95_std,anomaly percent_0,anomaly percent_1,anomaly percent_2,anomaly percent_3,anomaly percent_4,anomaly percent_mean,anomaly percent_std
1,1,0.4007,0.3957,0.3952,0.4323,0.4421,0.4132,0.0223,0.3835,0.4297,0.3967,0.3807,0.4168,0.4015,0.0213,2.0079,1.7248,2.0071,1.7346,1.7132,1.8375,0.1554,5.3276,5.534,5.3057,4.5099,5.2409,5.1836,0.3923,1.1335,1.7099,1.4217,1.7291,1.6907,1.537,0.2581
1,2,0.3939,0.3921,0.3907,0.4365,0.4418,0.411,0.0258,0.3837,0.4504,0.3935,0.3797,0.4163,0.4047,0.0292,1.9983,1.7293,2.0022,1.7116,1.7121,1.8307,0.1549,4.9327,5.5385,5.2445,4.4985,5.2409,5.091,0.3944,1.2488,1.6523,1.4409,1.7099,1.6907,1.5485,0.199
1,4,0.368,0.3962,0.391,0.3497,0.4341,0.3878,0.0319,0.3577,0.4558,0.3859,0.3168,0.3924,0.3817,0.051,1.9513,1.7355,1.9395,1.2378,1.2462,1.622,0.3574,5.6576,5.534,5.1021,3.7898,4.1632,4.8493,0.8336,1.0375,1.7099,1.5562,2.8818,3.2085,2.0788,0.9239
1,8,0.405,0.4023,0.3999,0.4394,0.4462,0.4186,0.0223,0.3864,0.4575,0.4001,0.3835,0.4202,0.4096,0.0305,2.0113,1.7216,1.9985,1.738,1.6778,1.8294,0.1617,5.2964,5.534,5.2541,4.5547,5.2368,5.1752,0.3669,1.1527,1.7099,1.4601,1.7291,1.7099,1.5524,0.2495
1,16,0.2036,0.2084,0.348,0.225,0.2546,0.2479,0.0594,0.2019,0.2459,0.3285,0.1994,0.22,0.2391,0.0533,1.2305,0.7097,1.9107,0.7034,0.7797,1.0668,0.5199,5.1324,3.9437,5.765,3.4905,3.3218,4.3307,1.0693,0.903,3.439,0.7301,3.2277,3.3622,2.3324,1.3872
1,32,0.2284,0.2182,0.2331,0.2418,0.2617,0.2366,0.0164,0.2253,0.2596,0.2275,0.2123,0.2282,0.2306,0.0175,1.3058,0.7643,1.3025,0.8013,0.7948,0.9937,0.2837,4.8018,3.7364,4.8982,3.5754,3.7979,4.1619,0.6342,1.0375,3.7464,1.1527,2.7474,2.9203,2.3208,1.1816
1,64,0.2535,0.2529,0.267,0.275,0.2986,0.2694,0.0188,0.2507,0.2912,0.2603,0.2457,0.2629,0.2622,0.0177,1.392,0.824,1.3628,0.8449,0.8297,1.0507,0.2985,4.9364,3.9999,5.1054,3.6237,3.9176,4.3166,0.6607,0.903,3.3622,0.999,2.8242,2.9011,2.1979,1.1572
2,1,0.4007,0.3949,0.3951,0.4348,0.4414,0.4134,0.0228,0.3835,0.4546,0.3967,0.3806,0.4164,0.4064,0.0305,2.0067,1.7164,2.0121,1.7318,1.7142,1.8362,0.1582,5.2964,5.534,5.3461,4.5547,5.2409,5.1944,0.3742,1.1527,1.7099,1.4025,1.7291,1.6907,1.537,0.2531
2,2,0.3949,0.4079,0.3953,0.5102,0.4399,0.4296,0.0486,0.3865,0.4586,0.3954,0.3793,0.4108,0.4061,0.0316,1.608,1.3871,1.9974,1.7441,2.0098,1.7493,0.2649,4.6304,4.7541,5.2541,4.5547,5.5931,4.9573,0.4479,1.806,2.5937,1.4601,1.7291,1.4025,1.7983,0.4766
2,4,0.4022,0.3713,0.3658,0.3963,0.387,0.3845,0.0157,0.3847,0.4257,0.3615,0.3681,0.356,0.3792,0.0281,2.0203,2.6841,2.2211,1.3678,1.2444,1.9075,0.6011,5.3276,7.8833,5.1168,4.0928,4.0473,5.2935,1.56,1.1335,0.6148,0.8069,2.6321,2.8626,1.61,1.0578
